Date	LSMEM	Mesonet	VIC
3/1/98	8.78	32.26	29.56
3/2/98	8.82	31.97	29.31
3/3/98	9.28	31.68	29.12
3/4/98	7.88	31.48	28.97
3/5/98	9.64	31.20	28.94
3/6/98	8.90	30.92	29.10
3/7/98	8.35	31.64	33.62
3/8/98	19.26	33.49	35.63
3/9/98	14.13	33.46	33.30
3/10/98	11.72	33.42	32.17
3/11/98	11.22	33.37	31.55
3/12/98	9.06	33.29	31.06
3/13/98	9.78	33.25	30.90
3/14/98	9.57	33.32	31.06
3/15/98	10.33	33.45	34.12
3/16/98	20.65	34.14	39.21
3/17/98	21.21	34.15	36.84
3/18/98	22.77	34.07	33.98
3/19/98	20.49	34.14	36.26
3/20/98	23.37	34.17	34.23
3/21/98	25.79	34.21	32.72
3/22/98	24.37	34.12	31.80
3/23/98	25.94	33.90	31.16
3/24/98	25.05	33.72	30.69
3/25/98	21.24	33.55	30.31
3/26/98	19.79	33.11	30.10
3/27/98	21.66	33.05	31.62
3/28/98	20.55	33.41	32.40
3/29/98	20.05	32.87	31.47
3/30/98	15.94	32.55	32.25
3/31/98	17.85	33.06	34.48
4/1/98	28.83	32.60	32.48
4/2/98	26.06	32.05	31.45
4/3/98	20.38	31.48	31.20
4/4/98	20.08	30.99	30.66
4/5/98	22.74	30.71	30.37
4/6/98	19.34	30.26	30.10
4/7/98	20.27	30.97	32.45
4/8/98	18.88	30.63	31.78
4/9/98	17.04	30.17	30.91
4/10/98	14.11	29.68	30.28
4/11/98	10.40	29.07	29.76
4/12/98	11.60	28.48	29.29
4/13/98	10.87	27.92	28.91
4/14/98	5.93	27.41	28.59
4/15/98	6.94	27.00	28.54
4/16/98	10.20	26.61	29.33
4/17/98	7.47	26.33	29.12
4/18/98	6.41	25.89	28.71
4/19/98	4.90	25.64	28.56
4/20/98	4.13	25.19	28.96
4/21/98	8.36	25.85	34.48
4/22/98	6.16	25.45	30.00
4/23/98	3.35	25.12	29.49
4/24/98	4.93	24.77	29.08
4/26/98	4.96	25.28	32.26
4/27/98	17.29	30.51	36.82
4/28/98	15.76	30.97	34.03
4/29/98	12.90	30.66	32.45
4/30/98	14.40	30.48	31.52
5/1/98	16.37	30.11	30.83
5/2/98	15.72	29.77	30.37
5/3/98	15.74	29.38	29.99
5/4/98	15.16	28.92	29.51
5/5/98	11.71	28.76	30.57
5/6/98	16.65	29.26	30.91
5/7/98	14.95	29.14	31.18
5/8/98	16.52	28.46	30.64
5/9/98	18.21	29.24	34.07
5/10/98	24.31	30.40	33.62
5/11/98	18.50	29.92	32.12
5/12/98	19.44	29.12	31.18
