,Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1981-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1981-01-02,0.4,0.3,0.0,0.2,0.0,1.2,1.8,1.0,0.0,0.2,1.7,0.3,0.0,0.0
2,1981-01-03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1981-01-04,3.3,31.7,7.0,11.0,0.0,1.3,2.8,21.8,6.9,5.9,18.6,37.5,53.5,4.0
4,1981-01-05,0.0,0.1,0.0,0.1,0.0,0.3,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.4
5,1981-01-06,0.8,4.9,0.9,0.2,0.3,0.1,0.0,0.4,2.6,1.1,7.3,10.0,0.0,6.0
6,1981-01-07,4.6,17.9,0.8,3.6,51.4,1.6,8.0,9.3,19.4,14.0,8.1,0.7,7.9,0.0
7,1981-01-08,2.3,0.0,23.8,25.3,0.0,0.0,3.6,10.1,0.0,7.6,6.6,33.0,0.0,0.0
8,1981-01-09,0.3,0.0,1.8,2.6,4.4,4.8,0.4,0.7,0.4,1.1,0.2,3.5,0.0,0.0
9,1981-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1981-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1981-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1981-01-13,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.1,0.0,0.0,0.0,0.0,1.4,0.1
13,1981-01-14,0.8,3.3,19.0,2.7,0.1,0.4,0.9,0.2,2.8,1.6,1.0,11.7,0.0,0.3
14,1981-01-15,1.5,0.7,1.7,1.4,0.0,1.7,23.3,1.5,0.0,0.4,0.3,0.5,0.0,0.4
15,1981-01-16,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.1,0.0,0.7
16,1981-01-17,0.0,1.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.9
17,1981-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
18,1981-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1981-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1981-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1981-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1981-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1981-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.3,0.0,0.0
24,1981-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1981-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1981-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1981-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.7,0.0,0.0,0.0
28,1981-01-29,20.2,0.0,4.1,1.0,0.6,11.3,0.0,2.2,0.0,1.0,2.5,1.4,0.8,0.0
29,1981-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1981-01-31,1.3,5.6,5.8,12.8,0.0,0.0,34.0,31.0,0.5,2.8,26.5,8.8,0.0,14.1
31,1981-02-01,20.5,9.6,25.0,13.8,0.0,9.5,0.0,8.0,39.2,21.5,1.1,0.7,0.0,19.3
32,1981-02-02,25.2,60.0,66.4,76.6,23.6,38.0,0.0,34.3,97.7,70.9,46.6,27.3,31.1,43.1
33,1981-02-03,10.7,30.5,0.0,0.1,4.7,22.7,0.0,7.3,8.0,16.0,22.6,2.3,0.0,18.7
34,1981-02-04,0.0,21.3,7.8,13.4,0.0,0.7,126.5,101.7,0.0,0.0,47.9,68.9,0.0,0.6
35,1981-02-05,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1981-02-06,0.0,3.1,11.5,6.6,0.0,0.0,2.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
37,1981-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1981-02-08,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1981-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1981-02-10,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1981-02-11,1.4,0.0,1.8,2.9,4.3,0.0,1.4,0.7,0.0,0.0,0.3,0.0,0.0,0.0
42,1981-02-12,27.9,7.0,18.9,6.2,0.0,3.0,10.6,16.0,7.9,22.4,9.9,5.0,25.0,19.7
43,1981-02-13,0.0,7.8,4.2,3.2,0.0,0.2,34.3,0.0,3.4,0.8,23.1,18.2,0.0,0.0
44,1981-02-14,48.4,9.0,1.0,0.2,39.4,0.4,0.0,0.0,2.6,18.0,0.3,0.0,0.0,0.0
45,1981-02-15,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1981-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1981-02-17,0.0,0.0,0.2,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1981-02-18,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
49,1981-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1981-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1981-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1981-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1981-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
